what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1361890539537
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361890580850
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361890581723
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361890584749
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361890604172
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361890637700
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361890697467
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1361890700952
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361890711023
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361890712033
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1361890772752
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1361890778004
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361890837731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361890839142
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.moveLineUp",1361890840752
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361890843933
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361890845788
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361890850545
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361890892031
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1361890903063
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1361890908750
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1361890911589
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1361890925389
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1361890926647
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361890930274
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361890931076
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361890932832
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361891103042
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1361891108271
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1361891112899
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1361891112926
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1361891114058
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1361891114093
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1361891114216
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1361891114297
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1361891114300
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361891114443
started,bundle,org.eclipse.equinox.p2.director,2.0.3.R36x_v20101117-1018,"org.eclipse.equinox.p2.director",1361891125170
