what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1362049112747
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1362049113986
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1362049116840
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1362049118256
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362049123630
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1362049131382
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1362049138548
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362049140061
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362049141124
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362049144635
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362049146207
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1362049148052
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362049152122
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362049155906
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362049157268
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362049197299
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362049200000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1362049208051
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362049234524
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362049254866
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362049257176
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362049267073
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362049274292
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362049276654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049304150
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049314168
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049322564
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049350476
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362049415269
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362049416662
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049430587
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049454363
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362049456141
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1362049460730
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1362049461088
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362049468358
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049471124
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049473311
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362049477869
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362049479926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049498772
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049518283
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362049522550
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049524397
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049527851
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362049530149
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049536347
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049543609
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362049548040
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.format",1362049552040
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049555824
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049576347
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362049579655
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049589411
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049594685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049596997
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049598642
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362049603373
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.format",1362049606861
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1362049607311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049609007
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049629614
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362049634674
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1362049639098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1362049640279
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1362049641548
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1362049647226
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1362049649066
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1362049651560
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362049657216
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362056491777
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362056500005
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362056626267
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362056629481
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362056633182
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362056638216
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1362056638245
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362056639167
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1362056639755
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362056646594
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362056897045
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362057090332
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362057780454
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362057789540
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362057791339
