what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058300027
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058307089
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058357148
started,bundle,org.eclipse.linuxtools.cdt.libhover,1.0.3.201101251503,"org.eclipse.linuxtools.cdt.libhover",1362058370401
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.textEnd",1362058408530
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1362058415497
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058434611
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058439653
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058441079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058641249
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058645379
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058647767
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058649526
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058653853
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058669008
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058689390
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058694731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058712521
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058719615
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058919202
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058925915
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058930206
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058939122
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058952242
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362058953406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362059109898
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362059111128
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362059111959
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362059115292
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362059122724
