what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1362042675947
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1362042675948
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1362042675948
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1362042675949
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1362042675949
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1362042675949
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1362042675950
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1362042675950
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1362042675951
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1362042675951
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1362042675952
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1362042675952
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1362042675952
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1362042675953
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1362042675954
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1362042675954
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1362042675956
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1362042675957
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1362042675957
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1362042675958
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1362042675958
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1362042675959
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1362042675960
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1362042675993
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1362042676221
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1362042676222
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1362042676224
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1362042676224
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1362042676224
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1362042676225
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1362042676226
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1362042676227
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1362042676227
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1362042676228
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1362042676228
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1362042676229
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1362042676230
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1362042676231
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1362042676231
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1362042676232
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1362042676232
started,bundle,com.python.pydev.analysis,2.2.2.2011082312,"com.python.pydev.analysis",1362042676297
started,bundle,org.python.pydev,2.2.2.2011082312,"org.python.pydev",1362042676349
started,bundle,org.python.pydev.core,2.2.2.2011082312,"org.python.pydev.core",1362042676349
started,bundle,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.adt",1362042676350
started,bundle,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms",1362042676415
started,bundle,com.android.ide.eclipse.traceview,15.0.1.v201111031820-219398,"com.android.ide.eclipse.traceview",1362042676416
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1362042676416
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1362042676433
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1362042676434
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1362042676435
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1362042676435
started,bundle,org.eclipse.linuxtools.cdt.autotools,2.0.0.201101251503,"org.eclipse.linuxtools.cdt.autotools",1362042676436
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.1.201101251503,"org.eclipse.linuxtools.cdt.autotools.core",1362042676437
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1362042676437
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1362042676438
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1362042676438
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1362042676439
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1362042676439
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1362042676440
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1362042676440
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1362042676440
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1362042676441
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1362042676441
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1362042676442
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1362042676442
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1362042676443
os,sysinfo,,,"macosx",1362042676446
arch,sysinfo,,,"x86_64",1362042676446
ws,sysinfo,,,"cocoa",1362042676446
locale,sysinfo,,,"nb_NO",1362042676446
processors,sysinfo,,,"4",1362042676446
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1362042676446
java.runtime.version,sysinfo,,,"1.6.0_39-b04-442-10M4008",1362042676446
java.specification.name,sysinfo,,,"Java Platform API Specification",1362042676446
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1362042676446
java.specification.version,sysinfo,,,"1.6",1362042676446
java.vendor,sysinfo,,,"Apple Inc.",1362042676446
java.version,sysinfo,,,"1.6.0_39",1362042676446
java.vm.info,sysinfo,,,"mixed mode",1362042676446
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1362042676446
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1362042676446
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1362042676446
java.vm.specification.version,sysinfo,,,"1.0",1362042676446
java.vm.vendor,sysinfo,,,"Apple Inc.",1362042676446
java.vm.version,sysinfo,,,"20.14-b01-442",1362042676446
error,log,,,"Server returned HTTP response code: 500 for URL: https://ping.aptana.com/ping.php",1362042676745
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1362042677164
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1362042677214
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1362042677226
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1362042680557
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1362042680727
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1362042680742
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Pull",1362042686826
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362042687148
started,bundle,org.eclipse.equinox.security.ui,1.0.200.v20100503,"org.eclipse.equinox.security.ui",1362042687689
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362042693386
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362042693593
started,bundle,org.eclipse.linuxtools.cdt.libhover,1.0.3.201101251503,"org.eclipse.linuxtools.cdt.libhover",1362042753053
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1362042806054
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362042806551
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362042806603
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362042843135
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362046614706
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362046632781
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1362046662354
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362046667871
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362046689186
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362046704862
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362046706048
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047211017
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047212304
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047238944
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047240085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047257451
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047272077
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047379271
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1362047381408
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047423633
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047424800
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047425578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047448284
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047458937
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047461206
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047466843
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047507578
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047509489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047512332
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047515480
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047566964
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047581128
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047585900
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047591557
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047595153
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047596517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362047868040
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1362047914991
